Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Monaco *,34,1107,2417,.458,306,861,.355,801,1556,.515,560,755,.742,439,819,1258,693,326,130,448,806,3080
2,Chalon/Saone *,34,1381,2770,.499,357,968,.369,1024,1802,.568,607,860,.706,378,1117,1495,819,240,159,512,738,3726
3,Nanterre *,34,1057,2279,.464,357,959,.372,700,1320,.530,450,652,.690,326,797,1123,582,265,69,415,652,2921
4,Strasbourg *,34,1335,2900,.460,365,969,.377,970,1931,.502,619,879,.704,461,1096,1557,894,329,123,584,977,3654
5,Pau-Lacq-Orthez *,33,1038,2308,.450,312,920,.339,726,1388,.523,435,615,.707,347,939,1286,742,256,102,453,666,2823
6,Paris-Levallois *,34,1142,2524,.452,252,768,.328,890,1756,.507,525,754,.696,426,979,1405,642,245,109,506,844,3061
7,Lyon-Villeurbanne *,34,1107,2437,.454,299,868,.344,808,1569,.515,594,795,.747,340,1003,1343,733,259,122,559,835,3107
8,Le Portel *,33,980,2143,.457,243,660,.368,737,1483,.497,361,504,.716,325,826,1151,588,222,75,422,613,2564
9,Gravelines-Dunkerque,34,950,2156,.441,275,773,.356,675,1383,.488,487,647,.753,293,750,1043,498,261,62,382,586,2662
10,Limoges,34,941,2106,.447,262,764,.343,679,1342,.506,462,629,.734,298,750,1048,601,226,65,392,660,2606
11,Le Mans,34,895,2036,.440,225,604,.373,670,1432,.468,437,597,.732,301,719,1020,514,199,50,365,617,2452
12,Cholet,34,892,1971,.453,316,817,.387,576,1154,.499,404,541,.747,243,759,1002,584,210,62,432,657,2504
13,Antibes,33,854,1933,.442,234,717,.326,620,1216,.510,408,560,.729,297,791,1088,496,194,75,457,684,2350
14,Dijon,34,924,2026,.456,267,751,.356,657,1275,.515,371,503,.738,221,657,878,546,271,61,384,667,2486
15,Hyeres-Toulon,33,906,2115,.428,268,842,.318,638,1273,.501,303,426,.711,330,733,1063,489,225,45,402,653,2383
16,Chalons-Reims,34,1010,2149,.470,250,694,.360,760,1455,.522,390,539,.724,244,752,996,649,242,83,398,644,2660
17,Orleans,34,908,1974,.460,267,735,.363,641,1239,.517,371,548,.677,274,740,1014,604,224,69,535,632,2454
18,Nancy,34,940,2144,.438,265,785,.338,675,1359,.497,408,627,.651,321,775,1096,571,208,82,442,603,2553
