Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Monaco *,34,1450,2828,.513,284,828,.343,1166,2000,.583,651,881,.739,400,949,1349,943,407,114,561,1028,3835
2,Strasbourg *,34,1271,2553,.498,307,866,.355,964,1687,.571,535,728,.735,385,939,1324,775,301,101,497,813,3384
3,Le Mans *,34,1338,2818,.475,347,948,.366,991,1870,.530,709,967,.733,412,1148,1560,855,320,130,595,801,3732
4,Limoges *,34,1113,2398,.464,311,816,.381,802,1582,.507,581,796,.730,356,892,1248,709,237,62,510,784,3118
5,Dijon *,34,1086,2206,.492,285,838,.340,801,1368,.586,470,645,.729,258,686,944,668,297,84,384,662,2927
6,Nanterre *,34,1026,2224,.461,347,954,.364,679,1270,.535,490,638,.768,271,741,1012,584,234,64,371,694,2889
7,Lyon-Villeurbanne *,34,1071,2247,.477,344,898,.383,727,1349,.539,475,612,.776,295,822,1117,663,205,98,425,659,2961
8,Pau-Lacq-Orthez *,34,1065,2250,.473,297,803,.370,768,1447,.531,476,625,.762,293,758,1051,660,253,71,424,634,2903
9,Bourg-en-Bresse,34,995,2045,.487,306,806,.380,689,1239,.556,498,686,.726,260,735,995,598,217,78,382,639,2794
10,Paris-Levallois,34,972,2124,.458,255,794,.321,717,1330,.539,495,660,.750,293,829,1122,653,195,97,450,704,2694
11,Le Portel,34,960,2140,.449,208,633,.329,752,1507,.499,399,571,.699,339,841,1180,618,198,55,426,628,2527
12,Gravelines-Dunkerque,34,994,2165,.459,289,852,.339,705,1313,.537,315,488,.645,280,769,1049,626,232,132,421,666,2592
13,Chalon/Saone,34,991,2156,.460,336,926,.363,655,1230,.533,477,625,.763,329,769,1098,597,177,62,383,583,2795
14,Chalons-Reims,34,985,2133,.462,242,721,.336,743,1412,.526,542,702,.772,295,748,1043,558,233,83,447,665,2754
15,Cholet,34,932,2117,.440,256,733,.349,676,1384,.488,327,506,.646,292,737,1029,525,184,58,373,610,2447
16,Antibes,34,1003,2124,.472,290,781,.371,713,1343,.531,357,504,.708,321,791,1112,547,184,50,436,638,2653
17,Boulazac,34,954,2147,.444,279,822,.339,675,1325,.509,452,588,.769,287,771,1058,567,201,69,406,668,2639
18,Hyeres-Toulon,34,938,2160,.434,291,804,.362,647,1356,.477,356,514,.693,327,697,1024,497,236,60,444,644,2523
