Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Monaco *,34,975,2051,.475,252,714,.353,723,1337,.541,544,725,.750,313,764,1077,616,276,65,389,756,2746
2,Strasbourg *,34,1011,2014,.502,262,685,.382,749,1329,.564,393,545,.721,260,790,1050,699,233,88,405,714,2677
3,Le Mans *,34,946,2167,.437,236,667,.354,710,1500,.473,489,635,.770,403,824,1227,472,212,69,372,612,2617
4,Chalon/Saone *,34,1067,2224,.480,365,936,.390,702,1288,.545,486,611,.795,350,737,1087,648,211,73,376,615,2985
5,Pau-Lacq-Orthez *,34,980,2136,.459,269,746,.361,711,1390,.512,427,578,.739,291,781,1072,513,221,33,362,599,2656
6,Nanterre *,34,997,2119,.471,370,971,.381,627,1148,.546,344,463,.743,301,778,1079,556,228,59,398,652,2708
7,Lyon-Villeurbanne *,34,926,2046,.453,275,763,.360,651,1283,.507,376,488,.770,344,786,1130,559,175,70,398,655,2503
8,Gravelines-Dunkerque *,34,956,2021,.473,242,723,.335,714,1298,.550,410,595,.689,261,736,997,532,286,68,404,577,2564
9,Dijon,34,924,1997,.463,280,810,.346,644,1187,.543,356,523,.681,250,701,951,549,257,68,383,670,2484
10,Limoges,34,938,2055,.456,275,768,.358,663,1287,.515,424,572,.741,312,793,1105,624,183,47,422,659,2575
11,Orleans,34,941,2022,.465,315,808,.390,626,1214,.516,304,421,.722,281,721,1002,539,244,61,428,546,2501
12,Chalons-Reims,34,992,2114,.469,238,709,.336,754,1405,.537,470,629,.747,314,756,1070,554,246,51,423,633,2692
13,Antibes,34,959,1986,.483,234,655,.357,725,1331,.545,372,581,.640,290,841,1131,573,194,85,478,663,2524
14,Paris-Levallois,34,948,2141,.443,231,708,.326,717,1433,.500,353,500,.706,324,742,1066,533,237,92,424,703,2480
15,Cholet,34,926,2128,.435,281,893,.315,645,1235,.522,432,583,.741,273,724,997,575,257,42,388,676,2565
16,Nancy,34,973,2183,.446,314,854,.368,659,1329,.496,426,565,.754,403,766,1169,596,192,79,463,685,2686
17,Rouen,34,895,2006,.446,248,723,.343,647,1283,.504,485,634,.765,266,707,973,551,252,61,422,600,2523
18,Le Havre,34,909,2080,.437,195,659,.296,714,1421,.502,428,583,.734,311,745,1056,448,200,67,483,647,2441
