Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Strasbourg IG *,34,964,1997,.483,237,686,.345,727,1311,.555,427,568,.752,307,796,1103,675,287,101,462,649,2592
2,JSF Nanterre *,34,1046,2138,.489,307,814,.377,739,1324,.558,395,563,.702,289,803,1092,605,280,72,444,594,2794
3,Limoges CSP *,34,1039,2202,.472,301,755,.399,738,1447,.510,387,541,.715,347,819,1166,660,239,57,446,670,2766
4,ASVEL Basket *,34,936,2022,.463,220,678,.324,716,1344,.533,444,553,.803,323,807,1130,610,207,74,434,590,2536
5,Le Mans Sarthe Basket *,34,937,2091,.448,253,762,.332,684,1329,.515,426,534,.798,318,730,1048,464,223,71,352,630,2553
6,STB Le Havre *,34,978,2114,.463,238,683,.348,740,1431,.517,391,580,.674,362,846,1208,547,248,95,423,596,2585
7,SLUC Nancy *,34,987,2222,.444,261,763,.342,726,1459,.498,373,550,.678,382,811,1193,579,226,104,444,667,2608
8,BCM Gravelines,34,914,2138,.428,274,876,.313,640,1262,.507,431,635,.679,321,780,1101,500,284,68,399,580,2533
9,Elan Chalon *,34,985,2141,.460,256,666,.384,729,1475,.494,392,536,.731,334,782,1116,554,246,72,417,620,2618
10,Reims Champagne Basket,34,984,2108,.467,241,678,.355,743,1430,.520,503,658,.764,316,849,1165,529,264,91,470,673,2712
11,Paris-Levallois Basket,34,947,2162,.438,303,844,.359,644,1318,.489,414,554,.747,346,826,1172,602,233,132,419,716,2611
12,Dijon,34,945,2075,.455,279,786,.355,666,1289,.517,415,547,.759,283,704,987,441,257,49,395,674,2584
13,Cholet Basket,34,1006,2140,.470,211,681,.310,795,1459,.545,438,576,.760,292,776,1068,579,255,66,438,638,2661
14,Elan Bearnais Pau-Orthez,34,940,2131,.441,247,783,.315,693,1348,.514,412,593,.695,346,785,1131,565,267,97,486,665,2539
15,SPO Rouen Basket,34,910,2033,.448,287,775,.370,623,1258,.495,437,578,.756,245,724,969,511,238,56,413,608,2544
16,Orleans,34,953,2010,.474,314,820,.383,639,1190,.537,315,466,.676,260,709,969,620,221,77,478,561,2535
17,Bourg-en-Bresse,34,994,2122,.468,238,672,.354,756,1450,.521,409,547,.748,263,789,1052,542,232,65,475,670,2635
18,SOMB Boulogne-sur-Mer,34,958,2198,.436,321,890,.361,637,1308,.487,395,555,.712,294,721,1015,539,249,44,413,587,2632
