Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Spencer Dinwiddie\dinwisp01,26,45,33,1404,316,757,.417,84,281,.299,232,476,.487,.473,240,309,.777,20,130,150,291,32,15,128,132,956
2,Joe Harris\harrijo01,28,44,44,1396,226,491,.460,107,265,.404,119,226,.527,.569,47,64,.734,40,143,183,91,30,13,67,103,606
3,Taurean Waller-Prince\princta02,25,45,45,1349,200,524,.382,110,308,.357,90,216,.417,.487,43,55,.782,37,251,288,95,41,18,93,112,553
4,Jarrett Allen\allenja01,21,45,41,1225,199,309,.644,0,4,.000,199,305,.652,.644,114,179,.637,140,299,439,55,30,63,53,110,512
5,Garrett Temple\templga01,33,40,28,1146,141,385,.366,82,255,.322,59,130,.454,.473,42,56,.750,23,117,140,98,34,18,49,68,406
6,DeAndre Jordan\jordade01,31,37,4,777,120,183,.656,0,0,,120,183,.656,.656,55,81,.679,87,273,360,73,15,35,48,73,295
7,Kyrie Irving\irvinky01,27,17,17,565,168,365,.460,46,123,.374,122,242,.504,.523,81,88,.920,17,72,89,114,23,9,38,44,463
8,Caris LeVert\leverca01,25,20,9,539,107,278,.385,28,81,.346,79,197,.401,.435,45,67,.672,18,61,79,66,13,2,52,36,287
9,Rodions Kurucs\kurucro01,21,29,4,392,51,104,.490,22,47,.468,29,57,.509,.596,12,20,.600,15,57,72,27,13,2,31,54,136
10,Džanan Musa\musadz01,20,32,0,391,45,134,.336,14,64,.219,31,70,.443,.388,33,44,.750,18,48,66,31,12,1,28,24,137
11,Wilson Chandler\chandwi01,32,17,0,350,45,95,.474,18,54,.333,27,41,.659,.568,10,11,.909,5,72,77,20,11,6,20,37,118
12,Timothé Luwawu-Cabarrot\luwawti01,24,22,0,348,37,87,.425,18,46,.391,19,41,.463,.529,17,23,.739,9,39,48,13,10,1,19,39,109
13,Theo Pinson\pinsoth01,24,27,0,332,44,148,.297,15,76,.197,29,72,.403,.348,15,16,.938,9,37,46,47,15,2,32,31,118
14,David Nwaba\nwabada01,27,20,0,268,37,71,.521,12,28,.429,25,43,.581,.606,18,27,.667,8,37,45,8,11,12,8,32,104
15,Iman Shumpert\shumpim01,29,13,0,241,21,64,.328,8,33,.242,13,31,.419,.391,4,7,.571,9,25,34,12,12,2,10,21,54
16,Nicolas Claxton\claxtni01,20,14,0,183,26,46,.565,1,7,.143,25,39,.641,.576,9,19,.474,19,24,43,16,1,8,9,14,62
17,Justin Anderson\anderju01,26,3,0,17,1,6,.167,0,3,.000,1,3,.333,.167,1,2,.500,0,2,2,0,0,1,0,2,3
18,Henry Ellenson\ellenhe01,23,5,0,15,1,7,.143,0,4,.000,1,3,.333,.143,0,0,,2,4,6,1,0,0,0,1,2
19,Chris Chiozza\chiozch01,24,2,0,12,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,2,2,2,1,0,0,0,0
